duration,gross,movie_title,budget,movie_facebook_likes
125,125531634,Ocean's Twelve,110000000,0
126,186336103,Mr. & Mrs. Smith,120000000,0
119,129995817,Insurgent,110000000,27000
170,102608827,The Aviator,110000000,0
85,42776259,Gulliver's Travels,112000000,0
119,98780042,The Green Hornet,120000000,14000
60,,The A-Team            ,,0
102,106369117,300: Rise of an Empire,110000000,71000
103,142614158,The Smurfs,110000000,31000
76,50026353,Home on the Range,110000000,304
120,66002193,Allegiant,110000000,12000
127,85463309,Real Steel,110000000,36000
105,71017784,The Smurfs 2,105000000,0
121,48068396,Speed 2: Cruise Control,160000000,894
114,61656849,Ender's Game,110000000,123000
129,134520804,Live Free or Die Hard,110000000,0
171,313837577,The Lord of the Rings: The Fellowship of the Ring,93000000,21000
120,24004159,Around the World in 80 Days,110000000,0
165,58183966,Ali,107000000,0
82,100446895,The Cat in the Hat,109000000,946
115,144795350,"I, Robot",120000000,0
194,47396698,Kingdom of Heaven,130000000,0
84,140015224,Stuart Little,133000000,0
97,104374107,The Princess and the Frog,105000000,5000
151,228430993,The Martian,108000000,153000
22,,"10,000 B.C.            ",,0
136,35799026,The Island,126000000,0
104,6712451,Town & Country,90000000,53
127,101643008,Gone in Sixty Seconds,90000000,0
171,187670866,Gladiator,103000000,21000
145,132014112,Minority Report,102000000,0
174,261970615,Harry Potter and the Chamber of Secrets,100000000,0
144,167007184,Casino Royale,150000000,0
119,180011740,Planet of the Apes,100000000,0
153,204843350,Terminator 2: Judgment Day,102000000,13000
140,97030725,Public Enemies,100000000,0
176,130127620,American Gangster,100000000,0
141,146282411,True Lies,115000000,0
106,65452312,The Taking of Pelham 1 2 3,100000000,0
98,148383780,Little Fockers,100000000,0
116,119219978,The Other Guys,100000000,16000
115,101228120,Eraser,100000000,0
165,162804648,Django Unchained,100000000,199000
91,100117603,The Hunchback of Notre Dame,100000000,0
78,89296573,The Emperor's New Groove,100000000,0
103,85017401,The Expendables 2,92000000,108000
131,173005002,National Treasure,100000000,0
104,75030163,Eragon,100000000,0
101,77222184,Where the Wild Things Are,100000000,11000
111,34964818,Pan,150000000,24000
102,107515297,Epic,100000000,17000
103,67631157,The Tourist,100000000,25000
121,66862068,End of Days,83000000,2000
143,57366262,Blood Diamond,100000000,14000
240,116866727,The Wolf of Wall Street,100000000,138000
121,184031112,Batman Forever,100000000,0
129,54700065,Starship Troopers,105000000,0
172,27098580,Cloud Atlas,102000000,124000
101,55673333,Legend of the Guardians: The Owls of Ga'Hoole,80000000,16000
87,40198710,Catwoman,100000000,0
101,72660029,Hercules,100000000,21000
95,38120554,Treasure Planet,140000000,0
102,49392095,Land of the Lost,100000000,0
131,39292022,The Expendables 3,90000000,56000
114,28772222,Point Break,105000000,37000
94,17010646,Son of the Mask,84000000,881
122,24985612,In the Heart of the Sea,100000000,27000
95,4411102,The Adventures of Pluto Nash,100000000,416
115,35024475,Green Zone,100000000,0
88,130174897,The Peanuts Movie,99000000,33000
110,10200000,The Spanish Prisoner,10000000,578
130,202007640,The Mummy Returns,98000000,0
216,77679638,Gangs of New York,100000000,0
146,9213,The Flowers of War,94000000,13000
85,58867694,Surf's Up,100000000,0
93,59475623,The Stepford Wives,90000000,0
152,108638745,Black Hawk Down,92000000,10000
85,86897182,The Campaign,95000000,18000
126,63540020,The Fifth Element,93000000,18000
146,95328937,Sex and the City 2,100000000,0
89,50802661,The Road to El Dorado,95000000,0
88,161317423,Ice Age: Continental Drift,95000000,14000
105,201148159,Cinderella,95000000,56000
135,43982842,The Lovely Bones,65000000,16000
100,380838870,Finding Nemo,94000000,11000
192,377019252,The Lord of the Rings: The Return of the King,94000000,16000
172,340478898,The Lord of the Rings: The Two Towers,94000000,10000
102,17176900,Seventh Son,95000000,16000
100,131144183,Lara Croft: Tomb Raider,115000000,0
119,23014504,Transcendence,100000000,37000
92,181166115,Jurassic Park III,93000000,0
105,176740650,Rise of the Planet of the Apes,93000000,47000
107,71148699,The Spiderwick Chronicles,90000000,0
101,67344392,A Good Day to Die Hard,92000000,66000
137,22406362,The Alamo,107000000,701
115,261437578,The Incredibles,92000000,0
124,11000000,Cutthroat Island,98000000,1000
118,88761720,Percy Jackson & the Olympians: The Lightning Thief,95000000,9000
98,250147615,Men in Black,90000000,0
82,245823397,Toy Story 2,90000000,0
98,81557479,Unstoppable,100000000,18000
90,226138454,Rush Hour 2,90000000,0
130,155370362,What Lies Beneath,100000000,0
90,124870275,Cloudy with a Chance of Meatballs,100000000,0
94,196573705,Ice Age: Dawn of the Dinosaurs,90000000,0
114,58229120,The Secret Life of Walter Mitty,90000000,70000
94,125305545,Charlie's Angels,92000000,0
151,132373442,The Departed,90000000,29000
88,120618403,Mulan,90000000,12000
121,110416702,Tropic Thunder,92000000,0
158,102515793,The Girl with the Dragon Tattoo,90000000,54000
128,100012500,Die Hard with a Vengeance,90000000,0
128,209019489,Sherlock Holmes,90000000,20000
141,,Ben-Hur,,0
95,84037039,Atlantis: The Lost Empire,120000000,0
92,85884815,Alvin and the Chipmunks: The Road Chip,90000000,0
121,83077470,Valkyrie,75000000,0
113,100018837,You Don't Mess with the Zohan,90000000,0
106,78747585,Pixels,88000000,39000
146,78616689,A.I. Artificial Intelligence,100000000,11000
88,75817994,The Haunted Mansion,90000000,988
150,100853835,Contact,90000000,15000
119,73209340,Hollow Man,95000000,0
128,72515360,The Interpreter,80000000,0
106,68558662,Percy Jackson: Sea of Monsters,90000000,28000
117,65653758,Lara Croft Tomb Raider: The Cradle of Life,95000000,0
129,64685359,Now You See Me 2,90000000,15000
116,61355436,The Saint,68000000,0
114,26871,Spy Game,92000000,0
114,60874615,Mission to Mars,90000000,0
96,143618384,Rio,90000000,19000
132,58220776,Bicentennial Man,100000000,0
104,47474112,Volcano,90000000,2000
111,42877165,The Devil's Own,86000000,979
138,35168677,K-19: The Widowmaker,100000000,0
100,56114221,Fantastic Four,120000000,41000
129,37567440,Conan the Barbarian,20000000,0
144,61644321,Cinderella Man,88000000,0
110,190562,The Nutcracker in 3D,90000000,788
140,120147445,Seabiscuit,87000000,0
113,241688385,Twister,92000000,0
106,144512310,The Fast and the Furious,38000000,14000
143,233630478,Cast Away,90000000,23000
108,197992827,Happy Feet,100000000,0
108,176049130,The Bourne Supremacy,75000000,0
124,172620724,Air Force One,85000000,0
116,183405771,Ocean's Eleven,85000000,0
110,20315324,The Three Musketeers,75000000,19000
91,148313048,Hotel Transylvania,85000000,28000
107,127706877,Enchanted,85000000,0
44,,Hannibal            ,,59000
115,126149655,Safe House,85000000,19000
100,66941559,102 Dalmatians,85000000,372
104,78009155,Tower Heist,75000000,0
138,63224849,The Holiday,85000000,19000
140,111544445,Enemy of the State,90000000,0
120,112703470,It's Complicated,85000000,0
122,117144465,Ocean's Thirteen,85000000,0
83,84303558,Open Season,85000000,863
139,150832203,Divergent,85000000,49000
131,51396781,Enemy at the Gates,68000000,0
104,47592825,The Rundown,85000000,0
130,50016394,Last Action Hero,70000000,0
145,57010853,Memoirs of a Geisha,85000000,0
104,62494975,The Fast and the Furious: Tokyo Drift,85000000,0
97,46440491,Arthur Christmas,100000000,0
178,44606335,Meet Joe Black,90000000,10000
108,40048332,Collateral Damage,85000000,941
123,,All That Jazz,,0
106,64933670,Mirror Mirror,85000000,18000
112,31494270,Scott Pilgrim vs. the World,60000000,36000
135,31111260,The Core,60000000,0
109,123307945,Nutty Professor II: The Klumps,65000000,374
86,153288182,Scooby-Doo,84000000,0
95,13401683,Dredd,35000000,46000
107,137340146,Click,70000000,7000
130,,Creepshow,8000000,0
82,43575716,Cats & Dogs: The Revenge of Kitty Galore,85000000,0
88,80170146,Jumper,85000000,0
120,75754670,Hellboy II: The Golden Army,85000000,3000
162,33048353,Zodiac,65000000,12000
123,34543701,The 6th Day,82000000,0
101,242589580,Bruce Almighty,81000000,0
113,102981571,The Expendables,80000000,57000
110,180965237,Mission: Impossible,80000000,0
142,407999255,The Hunger Games,78000000,140000
102,254455986,The Hangover Part II,80000000,56000
126,162831698,Batman Returns,80000000,0
83,155019340,Over the Hedge,80000000,0
85,145771527,Lilo & Stitch,80000000,0
97,82506325,Charlotte's Web,,0
120,140459099,Deep Impact,75000000,0
116,53215979,RED 2,84000000,22000
113,158115031,The Longest Yard,82000000,0
87,133103929,Alvin and the Chipmunks: Chipwrecked,75000000,0
101,133668525,Grown Ups 2,80000000,14000
110,130313314,Get Smart,80000000,0
128,124590960,Something's Gotta Give,80000000,0
138,127968405,Shutter Island,80000000,53000
88,120136047,Four Christmases,80000000,0
91,128200012,Robots,75000000,0
138,112225777,Face/Off,80000000,11000
99,109993847,Bedtime Stories,80000000,0
117,104054514,Road to Perdition,80000000,0
117,103028109,Just Go with It,80000000,19000
54,,Daredevil            ,,55000
123,101087161,Con Air,75000000,0
118,101111837,Eagle Eye,80000000,0
154,95632614,Cold Mountain,79000000,0
118,94822707,The Book of Eli,80000000,20000
90,92969824,Flubber,80000000,0
113,91188905,The Haunting,80000000,0
88,90443603,Space Jam,80000000,0
93,82226474,The Pink Panther,65000000,0
104,79363785,The Day the Earth Stood Still,80000000,0
135,76081498,Conspiracy Theory,75000000,0
134,85707116,Fury,68000000,82000
98,74329966,Six Days Seven Nights,70000000,0
80,100169068,Yogi Bear,80000000,0
83,73215310,Spirit: Stallion of the Cimarron,80000000,4000
102,80360866,Zookeeper,80000000,0
130,69102910,Lost in Space,80000000,0
129,65948711,The Manchurian Candidate,80000000,0
117,821997,Déjà Vu,,91
89,169692572,Hotel Transylvania 2,80000000,16000
25,,Bewitched            ,,0
74,60507228,Fantasia 2000,80000000,607
96,56684819,The Time Machine,80000000,3000
114,50628009,Mighty Joe Young,90000000,0
99,69772969,Swordfish,80000000,0
129,45356386,The Legend of Zorro,75000000,951
113,55350897,What Dreams May Come,85000000,32000
90,39442871,Little Nicky,80000000,0
118,37899638,The Brothers Grimm,88000000,0
106,37754208,Mars Attacks!,70000000,0
81,,Evolution,,257
117,27779888,The Edge,,0
89,38542418,Surrogates,80000000,0
145,34566746,Thirteen Days,80000000,0
114,32885565,Daylight,80000000,0
87,36073232,Walking with Dinosaurs 3D,80000000,0
119,21471685,Battlefield Earth,44000000,0
91,20950820,Looney Tunes: Back in Action,80000000,665
118,19673424,Nine,80000000,0
116,19480739,Timeline,80000000,0
177,17593391,The Postman,80000000,0
97,18318000,Babe: Pig in the City,80000000,964
106,27356090,The Last Witch Hunter,90000000,21000
106,17473245,Red Planet,70000000,995
94,15131330,Arthur and the Invisibles,86000000,941
104,19406406,Oceans,40000000,0
102,1891821,A Sound of Thunder,52000000,785
105,23219748,Pompeii,80000000,20000
89,,Top Cat Begins,8000000,138
135,170708996,A Beautiful Mind,58000000,29000
73,422783777,The Lion King,45000000,17000
94,103812241,Journey 2: The Mysterious Island,79000000,0
95,119793567,Cloudy with a Chance of Meatballs 2,78000000,15000
124,92930005,Red Dragon,78000000,0
136,67286731,Hidalgo,100000000,0
91,74158157,Jack and Jill,79000000,0
107,127083765,2 Fast 2 Furious,76000000,0
108,1339152,The Little Prince,81200000,31000
99,15071514,The Invasion,80000000,0
92,26000610,The Adventures of Rocky & Bullwinkle,76000000,413
87,323505540,The Secret Life of Pets,75000000,36000
110,66462600,The League of Extraordinary Gentlemen,78000000,0
98,368049635,Despicable Me 2,76000000,56000
154,306124059,Independence Day,75000000,16000
129,229074524,The Lost World: Jurassic Park,73000000,0
86,193136719,Madagascar,75000000,0
109,35286428,Children of Men,76000000,17000
104,157299717,X-Men,75000000,0
110,134568845,Wanted,75000000,0
136,134006721,The Rock,75000000,51000
115,195329763,Ice Age: The Meltdown,80000000,0
99,120776832,50 First Dates,75000000,11000
117,118823091,Hairspray,75000000,0
125,41814863,Exorcist: The Beginning,50000000,893
110,97360069,Inspector Gadget,75000000,509
125,117698894,Now You See Me,75000000,105000
102,162001186,Grown Ups,80000000,12000
128,77032279,The Terminal,60000000,16000
43,,Constantine            ,,10000
100,73023275,Hotel for Dogs,35000000,1000
124,68473360,Vertical Limit,75000000,0
102,66636385,Charlie Wilson's War,75000000,0
90,160762022,Shark Tale,75000000,0
130,103338338,Dreamgirls,70000000,0
45,,Life            ,,0
118,55808744,Be Cool,53000000,0
163,47379090,Munich,70000000,0
142,43426961,Tears of the Sun,70000000,0
100,47000485,Killers,75000000,0
116,45434443,The Man from U.N.C.L.E.,75000000,43000
131,42044321,Spanglish,80000000,0
91,73661010,Monster House,75000000,0
123,41523271,Bandits,80000000,0
134,37600435,First Knight,55000000,0
148,39251128,Anna and the King,75000000,0
110,83503161,Immortals,75000000,30000
113,34636443,Hostage,52000000,0
94,22751979,Titan A.E.,75000000,0
116,30013346,Hollywood Homicide,75000000,648
99,14567883,Soldier,75000000,0
84,90820,Carriers,,0
93,5409517,Monkeybone,75000000,683
113,21009180,Flight of the Phoenix,45000000,1000
106,94999143,Unbreakable,75000000,0
91,336029560,Minions,74000000,70000
128,36381716,Sucker Punch,82000000,42000
98,55585389,Snake Eyes,69000000,880
134,36976367,Sphere,75000000,0
97,107225164,The Angry Birds Movie,73000000,14000
112,70224196,Fool's Gold,70000000,0
153,51814190,Funny People,75000000,0
110,47456450,The Kingdom,70000000,0
122,148213377,Talladega Nights: The Ballad of Ricky Bobby,73000000,0
87,112950721,Dr. Dolittle 2,72000000,266
178,75600000,Braveheart,72000000,17000
125,62647540,Jarhead,70000000,0
87,183132370,The Simpsons Movie,75000000,0
152,27796042,The Majestic,72000000,0
116,32616869,Driven,72000000,886
109,18947630,Two Brothers,59660000,2000
108,114195633,The Village,60000000,0
85,144156464,Doctor Dolittle,71500000,694
106,227965690,Signs,72000000,0
93,436471036,Shrek 2,150000000,0
117,244052771,Cars,120000000,0
116,152149590,Runaway Bride,70000000,0
132,141204016,xXx,70000000,10000
92,162495848,The SpongeBob Movie: Sponge Out of Water,74000000,16000
139,136448821,Ransom,80000000,1000
153,120523073,Inglourious Basterds,75000000,42000
142,119654900,Hook,70000000,13000
101,72660029,Hercules,100000000,21000
124,117541000,Die Hard 2,70000000,0
117,116643346,S.W.A.T.,80000000,0
45,,Sleepy Hollow            ,,14000
141,100614858,Vanilla Sky,68000000,0
110,42272747,Lady in the Water,70000000,0
109,80281096,AVP: Alien vs. Predator,60000000,0
88,219613391,Alvin and the Chipmunks: The Squeakquel,75000000,2000
124,78120196,We Were Soldiers,75000000,5000
119,98895417,Olympus Has Fallen,70000000,45000
103,70117571,Star Trek: Insurrection,58000000,1000
116,83552429,Battle Los Angeles,70000000,25000
125,66257002,Big Fish,70000000,26000
125,65012000,Wolf,70000000,0
146,79883359,War Horse,66000000,28000
118,78031620,The Monuments Men,70000000,34000
171,54222000,The Abyss,69500000,0
136,52474616,Wall Street: Money Never Sleeps,70000000,13000
92,55942830,Dracula Untold,70000000,37000
116,40932372,The Siege,70000000,0
127,38345403,Stardust,70000000,15000
136,37901509,Seven Years in Tibet,70000000,0
111,48430355,The Dilemma,70000000,0
116,30157016,Bad Company,70000000,792
113,28031250,Doom,60000000,0
97,33105600,I Spy,70000000,531
88,62321039,Underworld: Awakening,70000000,24000
136,38509342,Rock of Ages,75000000,33000
125,19076815,Hart's War,60000000,997
116,25093607,Killer Elite,35000000,17000
98,18990542,Rollerball,70000000,584
91,14294842,Ballistic: Ecks vs. Sever,70000000,391
97,19819494,Hard Rain,70000000,815
95,13596911,Osmosis Jones,70000000,2000
88,8460990,Legends of Oz: Dorothy's Return,70000000,5000
133,7097125,Blackhat,70000000,11000
106,37760080,Sky Captain and the World of Tomorrow,70000000,0
116,5851188,Basic Instinct 2,70000000,764
115,25121291,Escape Plan,50000000,34000
99,18821279,The Legend of Hercules,70000000,12000
124,118471320,The Sum of All Fears,68000000,0
124,300523113,The Twilight Saga: Eclipse,68000000,29000
124,71069884,The Score,68000000,0
87,251501645,Despicable Me,69000000,31000
105,35324232,Money Train,68000000,617
125,81257500,Ted 2,68000000,30000
141,617840,Agora,70000000,29000
121,29655590,Mystery Men,65000000,0
111,45045037,Hall Pass,36000000,10000
157,28965197,The Insider,68000000,0
117,27550735,The Finest Hours,,12000
128,39380442,Body of Lies,70000000,0
114,72980108,Dinner for Schmucks,,0
105,37516013,Abraham Lincoln: Vampire Hunter,69000000,98000
